date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:59	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5ba4081948620%22	https://kodanmal.com/robots.txt		(from )
11:08:00	129478/129478	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jul%202021%2004:07:59%20GMT	https://kodanmal.com/	D:/My%20Web%20Sites/My%20website/kodanmal.com/index.html	(from )
11:08:00	6213/6213	---M--	200	added ('OK')	image/jpg	date:Thu,%2008%20Jul%202021%2007:03:42%20GMT	https://dummyimage.com/600x315/949494/fff.jpg	D:/My%20Web%20Sites/My%20website/dummyimage.com/600x315/949494/fff.jpg	(from https://kodanmal.com/)
11:08:00	18913/18913	---M--	200	added ('OK')	image/png	etag:%2249e1-5ba408191328a%22	https://kodanmal.com/fav-icon.png	D:/My%20Web%20Sites/My%20website/kodanmal.com/fav-icon.png	(from https://kodanmal.com/)
11:08:01	46117/46117	---MCZ	200	added ('OK')	text/css	etag:W/%22b425-5ba40818d275b%22	https://kodanmal.com/assets/global/plugins/fontawesome-free-5/web-fonts-with-css/css/fontawesome-all.css	D:/My%20Web%20Sites/My%20website/kodanmal.com/assets/global/plugins/fontawesome-free-5/web-fonts-with-css/css/fontawesome-all.css	(from https://kodanmal.com/)
11:08:01	141312/141312	---M-Z	200	added ('OK')	text/css	etag:%225eb03efe-22800%22	https://cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0-beta/css/materialize.min.css	D:/My%20Web%20Sites/My%20website/cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0-beta/css/materialize.min.css	(from https://kodanmal.com/)
11:08:01	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	D:/My%20Web%20Sites/My%20website/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://kodanmal.com/)
11:08:02	1380/1380	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-564%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.css	D:/My%20Web%20Sites/My%20website/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.css	(from https://kodanmal.com/)
11:08:02	854/854	---MCZ	200	added ('OK')	text/css	etag:W/%22356-5ba4081908e79%22	https://kodanmal.com/css/frontend/flaticon/font/flaticon.css	D:/My%20Web%20Sites/My%20website/kodanmal.com/css/frontend/flaticon/font/flaticon.css	(from https://kodanmal.com/)
11:08:02	207937/207937	---MCZ	200	added ('OK')	text/css	etag:W/%2232c41-5ba408190adb9%22	https://kodanmal.com/css/frontend/main.css	D:/My%20Web%20Sites/My%20website/kodanmal.com/css/frontend/main.css	(from https://kodanmal.com/)
11:08:02	7179/7179	---MCZ	200	added ('OK')	text/css	etag:W/%221c0b-5ba408190a201%22	https://kodanmal.com/css/frontend/header.css	D:/My%20Web%20Sites/My%20website/kodanmal.com/css/frontend/header.css	(from https://kodanmal.com/)
